Name,Matches,Innings,Not_Outs,Runs,High_Score,Average,No_Of_100,No_Of_50,Strike_Rate,Catches_Taken,Stumpings,Runs/Innings,Rating,ScaledRating,LogRating
C H Gayle,256,251,34,9120,175,42.02,17,57,150.34,64,NA,36.3346613546,188036.281596219,20.82,5.2742416545
V Kohli,204,192,38,6446,113,41.85,4,46,133.01,89,NA,33.5729166667,121996.950233521,18.69,5.086348974
B J Hodge,256,242,55,6997,106,37.41,2,46,131.72,96,NA,28.9132231405,116714.787000167,18.48,5.0671258818
D A Warner,220,219,22,6868,135,34.86,5,54,143.68,96,NA,31.3607305936,110581.514307306,18.24,5.0436825329
K A Pollard,312,279,84,6095,89,31.25,0,30,152.71,177,NA,21.8458781362,104085.822365588,17.96,5.0173915779
S K Raina,242,228,37,6326,109,33.12,3,36,139,124,NA,27.7456140351,98915.605369307,17.73,4.9952648132
Shoaib Malik,233,221,63,5995,95,37.94,0,37,123.5,92,NA,27.1266968326,94769.1744094845,17.55,4.9766670972
B B McCullum,236,233,22,6671,158,31.61,7,32,137.12,96,14,28.6309012876,93717.8466624584,17.5,4.9718223013
R G Sharma,234,223,38,6137,109,33.17,3,42,131.16,91,NA,27.5201793722,89652.8242895528,17.3,4.9525639755
M S Dhoni,240,216,86,4884,73,37.56,0,18,135.93,122,59,22.6111111111,88659.2441855565,17.26,4.9477240246
L J Wright,246,227,24,5854,153,28.83,6,28,147.15,83,NA,25.7885462555,86122.5450022405,17.13,4.9351168552
A B de Villiers,210,195,38,5156,133,32.84,3,32,144.3,151,16,26.441025641,84200.9613311184,17.03,4.9253170499
D J Hussey,258,243,48,5960,100,30.56,1,31,133.06,125,NA,24.5267489712,82339.9387186789,16.94,4.9156105394
J P Duminy,210,197,62,5137,99,38.05,0,33,122.28,79,NA,26.076142132,81530.9877374036,16.9,4.9113227038
S E Marsh,135,133,18,4703,115,40.89,2,36,129.2,51,NA,35.3609022556,80702.4480273394,16.85,4.9068867088
R N ten Doeschate,270,239,53,5485,121,29.48,2,23,136.81,106,NA,22.949790795,79971.9702074035,16.82,4.9029377955
D A Miller,203,185,58,4506,101,35.48,1,22,138.13,132,NA,24.3567567568,77542.0178271336,16.69,4.8895370982
O A Shah,230,217,49,5509,84,32.79,0,30,125.06,73,NA,25.3870967742,76621.5077754001,16.64,4.8843506939
M J Guptill,161,156,18,4854,120,35.17,2,31,128.54,98,NA,31.1153846154,72470.5724551989,16.41,4.8601616919
M E K Hussey,150,141,26,4404,116,38.29,1,34,125.75,70,NA,31.2340425532,72187.631897892,16.39,4.8584627951
K P Pietersen,159,154,23,4551,115,34.74,3,26,136.13,56,NA,29.5519480519,71107.7400253556,16.33,4.8519168759
A J Finch,156,152,15,4686,156,34.2,2,34,133.42,61,NA,30.8289473684,70223.1513983521,16.28,4.8464803154
S R Watson,196,189,22,5014,124,30.02,3,30,139.08,59,NA,26.5291005291,69471.0631332964,16.23,4.841803945
D R Smith,255,248,22,5966,110,26.39,3,35,127.99,117,NA,24.0564516129,66303.6071562879,16.05,4.8215371562
R V Uthappa,198,192,20,5059,92,29.41,0,26,132.74,96,32,26.3489583333,65174.1621978976,15.98,4.8140754571
L R Taylor,215,200,44,4679,111,29.99,1,24,134.18,100,NA,23.395,64770.275013232,15.95,4.8113757411
C L White,207,198,43,4737,141,30.56,2,31,127.99,86,NA,23.9242424242,61985.1857823483,15.78,4.7922879072
K C Sangakkara,190,184,18,4957,94,29.86,0,29,126.55,108,47,26.9402173913,61895.1511806857,15.77,4.7916566281
G Gambhir,211,207,19,5382,93,28.62,0,44,120.78,42,NA,26,60683.47414272,15.7,4.7830704363
D P M Jayawardene,200,193,24,4854,110,28.72,2,34,130.02,74,NA,25.1502590674,60105.8902802259,15.66,4.7789170342
Y K Pathan,213,191,47,4092,100,28.41,1,19,144.49,69,NA,21.4240837696,59943.3298528303,15.65,4.7777408643
D J J Bravo,308,258,71,4798,70,25.65,0,17,125.24,158,NA,18.5968992248,58880.5232657664,15.58,4.7699716609
T M Dilshan,219,215,25,5188,104,27.3,1,34,122.85,79,3,24.1302325581,56714.4086988466,15.43,4.7536934085
R E Levi,156,150,11,4034,117,29.02,3,27,143.55,41,NA,26.8933333333,55926.7801297227,15.38,4.7476198164
L M P Simmons,168,166,17,4674,100,31.36,1,36,115.95,67,NA,28.156626506,55041.0470658613,15.32,4.740686687
Q de Kock,120,114,10,3531,126,33.95,3,18,135.49,69,20,30.9736842105,54710.5539384799,15.29,4.738071112
J A Morkel,287,231,85,3767,73,25.8,0,11,137.93,62,NA,16.3073593074,53295.9192746057,15.19,4.7266939575
M Klinger,111,109,18,3412,126,37.49,5,19,125.62,34,NA,31.3027522936,52363.6258601939,15.13,4.7190297112
V Sehwag,159,157,6,4061,122,26.89,2,24,147.83,42,NA,25.8662420382,52315.914200044,15.12,4.7186338188
M J Lumb,204,203,11,4700,124,24.47,1,25,138.19,67,NA,23.1527093596,51108.43139845,15.04,4.708492552
R S Bopara,221,205,38,4540,105,27.18,1,24,119.37,67,NA,22.1463414634,50814.6443214338,15.01,4.7059888901
S Dhawan,160,159,19,4299,95,30.7,0,32,119.38,62,NA,27.0377358491,50735.2998932135,15.01,4.7053102318
J H Kallis,176,171,28,4416,97,30.88,0,32,112.45,54,NA,25.8245614035,50504.7646782706,14.99,4.7033323519
