Name,Balls,Maidens,Runs,Wickets,Best_Bowling,Average,4_Wicket_Hauls,5_Wicket_Hauls,Strike_Rate,Economy,Rating,ScaledRating,LogRating
S L Malinga,4835,13,5393,299,6-7,18.03,8,4,16.17,6.69,11985.21480973,20.93,4.0786458223
S P Narine,4112,15,3856,227,5-19,16.98,10,1,18.11,5.62,9781.4887935985,19.89,3.9904049617
D J J Bravo,5781,2,7772,317,5-23,24.51,7,1,18.23,8.06,9276.4942247708,19.63,3.9673838785
Shahid Afridi,4650,9,5177,236,5-7,21.93,4,2,19.7,6.68,7491.1736035453,18.61,3.8745498617
A C Thomas,4558,15,5739,263,5-24,21.82,4,1,17.33,7.55,7276.5978111096,18.47,3.8619283715
D P Nannes,4624,9,5719,257,5-31,22.25,7,2,17.99,7.42,7198.0859505133,18.42,3.8572170281
S A Hasan,4215,9,4737,230,6-6,20.59,6,2,18.32,6.74,6985.6877888635,18.28,3.8442091718
A M Sagar,4753,10,6042,255,5-24,23.69,3,1,18.63,7.62,6714.1024320039,18.1,3.8269879627
J A Morkel,4697,8,5999,230,4-25,26.08,3,0,20.42,7.66,5407.6931394064,17.15,3.7330120395
R Ashwin,4108,7,4618,198,4-8,23.32,4,0,20.74,6.74,5174.962208163,16.96,3.7139071826
S Tanvir,4449,7,5403,210,6-14,25.72,3,1,21.18,7.28,4989.7565498265,16.81,3.6980793569
Harbhajan Singh,4302,12,4811,190,5-18,25.32,3,1,22.64,6.7,4818.2075404966,16.66,3.682885503
M Muralitharan,3705,5,3945,179,4-16,22.03,3,0,20.69,6.38,4718.5229033649,16.58,3.6738060674
A Mishra,3545,10,4159,196,5-17,21.21,4,2,18.08,7.03,4659.8969996573,16.52,3.6683763173
D W Steyn,3748,10,4188,181,4-9,23.13,2,0,20.7,6.7,4377.5157932775,16.27,3.6412277216
K A Pollard,3755,1,5004,214,4-15,23.38,4,0,17.54,7.99,4301.6238219074,16.2,3.6336324285
S W Tait,3486,7,4584,208,5-32,22.03,3,1,16.75,7.88,4176.8608104776,16.08,3.6208500031
Umar Gul,2932,10,3602,188,5-6,19.15,8,2,15.59,7.37,3905.5800985578,15.81,3.5916855491
S Badree,2865,18,2586,136,5-22,19.01,1,1,21.06,5.41,3788.6470881655,15.69,3.5784841527
P P Chawla,3684,4,4532,182,4-17,24.9,3,0,20.24,7.38,3648.6760048323,15.54,3.5621353006
M Morkel,3406,12,4207,171,4-17,24.6,4,0,19.91,7.41,3195.1219512195,15.04,3.5044874389
B A W Mendis,2617,6,3008,159,6-8,18.91,5,2,16.45,6.89,3193.6704226498,15.03,3.5042900962
J Botha,3672,4,3931,146,4-16,26.92,2,0,25.15,6.42,3102.026079349,14.93,3.4916454447
A D Russell,3526,3,4768,182,4-11,26.19,6,0,19.37,8.11,3021.3242975901,14.83,3.4801973433
N L McCullum,3162,3,3784,157,4-16,24.1,4,0,20.14,7.18,2868.9305239312,14.64,3.4577200312
K K Cooper,2569,5,2959,151,5-15,19.59,4,1,17.01,6.91,2865.6857769514,14.63,3.4572285682
Imran Tahir,2724,4,3123,150,4-21,20.82,3,0,18.16,6.87,2856.6754338497,14.62,3.4558609001
Mohammad Hafeez,2939,5,3056,135,4-10,22.63,3,0,21.77,6.23,2814.2375530997,14.57,3.449360754
R S Bopara,3040,1,3701,157,6-16,23.57,2,1,19.36,7.3,2773.8999540861,14.51,3.4430907934
A D Mascarenhas,2647,8,3133,152,5-14,20.61,1,2,17.41,7.1,2749.5472592957,14.48,3.4392611887
I K Pathan,3283,13,4123,161,5-13,25.6,2,1,20.39,7.53,2741.964433931,14.47,3.4380618172
S R Watson,3232,5,4142,160,4-15,25.88,2,0,20.2,7.68,2601.7516743947,14.28,3.4152658427
P P Ojha,2771,2,3297,148,4-15,22.27,3,0,18.72,7.13,2582.7864201364,14.26,3.4120884943
D L Vettori,3236,3,3424,131,4-20,26.13,1,0,24.7,6.34,2558.8871946987,14.22,3.408051141
K Santokie,1781,6,2014,134,5-24,15.02,6,1,13.29,6.78,2343.5223045772,13.92,3.3698690913
R Vinay Kumar,3028,2,3993,155,4-40,25.76,1,0,19.53,7.91,2303.378065347,13.86,3.3623652268
J P Faulkner,2744,8,3605,154,5-16,23.4,1,3,17.81,7.88,2291.7263221832,13.84,3.360162753
R P Singh,2903,4,3638,146,5-8,24.91,3,1,19.88,7.51,2265.6156036565,13.8,3.3551862271
R E van der Merwe,2748,3,3251,137,3-18,23.72,0,0,20.05,7.09,2238.5993620923,13.76,3.3499763757
A Nehra,2586,3,3283,146,4-10,22.48,2,0,17.71,7.61,2206.9902404123,13.71,3.3438004127
C H Morris,2482,8,3135,145,4-9,21.62,5,0,17.11,7.57,2198.9644599831,13.7,3.3422182103
J Theron,2586,2,3110,135,4-27,23.03,3,0,19.15,7.21,2102.4858729162,13.54,3.3227330864
W D Parnell,2780,7,3481,139,4-13,25.04,3,0,20,7.51,2054.8746506256,13.47,3.3127853346
