Year,Live births Registered,Still births registered,Deaths registered,Births rates,Deaths rates,Births CSR-SRS %,Deaths CSR-SRS %
1971,469226,9966,176160,16,6,50.5,40.6
1972,484616,13312,179593,16.1,6,51.1,47.2
1973,463130,11970,193725,14.94,6.24,51.7,50.3
1974,435353,10612,166102,13.74,5.24,49.1,48.1
1975,453444,10689,171857,13.97,5.29,50.4,48.1
1976,454851,10713,176061,13.68,5.3,46.4,45.3
1977,459473,9828,175824,12.92,5.17,48.2,46.2
1978,427336,4991,155489,12.22,4.44,42,37.3
1979,455668,7714,163296,12.82,4.59,44.7,45
1980,460295,7673,87556,12.68,2.41,45.9,25.1
1981,466387,7036,150526,12.56,4.06,44.4,44.6
1982,480337,4420,150008,12.66,3.96,45.4,43
1983,406812,5921,224115,10.51,3.21,36.1,34.5
1984,439892,6472,132568,11.14,3.35,36.8,35
1985,484334,2373,154186,12.03,3.83,40.6,43.5
1986,564500,5739,162700,13.65,3.93,47.4,45.2
1987,564015,4897,154018,13.4,3.66,46.4,42.1
1988,641846,5276,195787,14.98,4.57,52.2,51.9
1989,673287,4734,199766,17.68,5.09,63.1,57.8
1990,780496,5736,209873,17.61,4.73,62.9,58.4
1991,792291,4938,240206,17.65,5.35,65.6,59.4
1992,827188,5551,215666,18,4.69,68.5,55.2
1993,860471,3949,257133,18.34,5.48,71.9,68.5
1994,886320,5236,282180,21.6,6.9,86.7,83.1
1995,996077,5656,325279,20.34,6.64,84.4,87.4
1996,1028112,5415,336535,20.54,6.61,89.34,86.92
1997,1031329,4545,350264,20.17,6.85,88.86,90.14
1998,1042256,4213,374400,20,7.16,90.67,90.71
1999,997649,4473,346451,18.68,6.48,83.78,84.26
2000,1009716,5472,351736,20.04,6.98,91.07,89.48
2001,1017224,4557,365181,19.51,7.00,87.88,92.15
2002,973653,4187,355662,18.85,6.89,85.29,95.69
2003,1001749,3628,359661,19.31,6.93,88.58,96.25
2004,988520,3943,343644,18.82,6.54,90.05,94.78
2005,1007868,4538,364415,18.51,6.69,89.85,94.23
2006,1046531,5091,387604,18.95,7.02,94.28,98.87
2007,1046424,5526,381890,18.95,6.92,95.23,94.79
2008,1082450,5069,372062,19.30,6.63,97.47,89.59
2009,1076383,5729,373290,19.05,6.61,97.69,91.81
2010,1071518,6587,381743,18.29,6.51,95.26,91.69
2011,1108562,6940,384745,18.72,6.50,99.47,91.55
2012,1124490,6524,407015,18.62,6.74,100.00,94.93
2013,1068671,5708,413635,17.54,6.79,95.85,97.00
2014,1087530,5685,411533,17.21,6.51,94.04*,93.00*
